[NDB]
AD    280,000 S000.20.56.980 E102.20.07.690
AL    215,000 S006.11.38.260 E107.02.24.090
AR    315,000 S007.39.54.000 E111.26.06.000
AS    398,000 S006.33.00.000 E106.46.00.000
AT    245,000 S000.08.33.260 E109.24.18.320
BA    240,000 S006.59.33.510 E111.25.08.260
BB    310,000 S005.57.28.000 E106.50.20.000
BM    370,000 N001.07.16.540 E104.06.38.070
CA    365,000 S006.41.52.730 E108.33.35.130
CC    235,000 S007.38.32.710 E109.02.07.060
CL    258,000 S006.06.20.750 E106.44.08.610
CR    242,000 S006.05.13.440 E106.43.25.900
DM    343,000 N001.38.42.000 E101.27.18.000
GL    324,000 S006.08.48.520 E106.34.27.350
GR    282,000 S006.10.24.530 E106.33.58.350
IG    233,000 N001.23.53.640 E099.25.43.310
KC    201,000 S002.05.48.000 E101.22.00.000
KP    333,000 S001.48.57.940 E109.57.41.880
LS    222,000 N005.03.54.000 E097.15.36.000
LW    290,000 S007.49.18.000 E112.41.24.000
MK    329,000 N003.20.46.000 E106.15.25.000
ML    342,000 S007.56.00.000 E112.43.00.000
NAT   365,000 N003.54.24.000 E108.24.00.000
ND    285,000 S002.45.15.380 E107.45.04.280
NE    320,000 S000.28.58.790 E104.34.33.570
NK    295,000 N004.08.00.000 E117.40.00.000
NW    350,000 N000.27.59.600 E101.27.11.700
NX    365,000 S001.37.51.520 E103.38.25.930
NZ    330,000 N005.30.44.350 E095.25.09.910
OB    360,000 S006.11.40.000 E106.51.25.000
OC    350,000 S006.58.31.800 E110.22.25.120
OF    270,000 S007.47.03.540 E110.26.02.830
OI    260,000 S002.09.41.980 E106.08.30.380
ON    375,000 N003.34.06.060 E098.40.22.220
OQ    295,000 S000.55.31.970 E100.21.26.460
OW    395,000 S002.54.38.380 E104.40.35.230
OY    300,000 S006.55.24.300 E107.38.52.500
OZ    385,000 S006.33.00.000 E107.41.00.000
PB    360,000 N000.50.20.490 E112.56.10.490
PB    210,000 S003.51.35.740 E102.20.26.490
PG    276,000 S006.45.19.180 E108.32.19.420
PM    334,000 S004.01.37.200 E103.22.50.200
PN    262,000 N000.29.45.100 E101.55.16.560
PW    250,000 S006.34.00.000 E107.27.00.000
QQ    325,000 S000.55.19.900 E100.21.41.310
RG    210,000 S008.36.17.100 E120.28.10.300
RN    373,000 N003.54.19.100 E108.23.30.800
SG    405,000 S000.02.30.700 E111.27.13.130
SK    215,000 N001.33.22.200 E098.53.38.890
TF    290,000 S005.14.41.730 E105.10.41.560
TG    275,000 S006.07.48.000 E106.50.32.000
TG    410,000 N001.03.01.100 E103.23.31.900
TI    385,000 N000.55.11.020 E104.31.34.210
TN    400,000 S006.17.24.840 E106.34.06.530
WE    310,000 N005.52.35.050 E095.20.14.480
WW    380,000 S002.54.19.020 E104.42.56.400
YY    205,000 S006.53.35.630 E107.33.14.230

[NDB]
;-=##=-----> Country: Indonesia
AD    280.000 S000.20.58.980 E102.20.00.000
AG    233.000 N001.23.54.020 E099.25.44.200
